RunsScored,OBP
734,0.328
700,0.32
712,0.311
734,0.315
613,0.302
748,0.318
669,0.315
667,0.324
758,0.33
726,0.335
583,0.302
676,0.317
767,0.332
637,0.317
609,0.308
776,0.325
701,0.325
650,0.316
804,0.337
713,0.31
684,0.317
651,0.304
651,0.319
619,0.296
718,0.327
765,0.338
697,0.317
808,0.334
716,0.309
731,0.322
731,0.322
641,0.308
708,0.316
875,0.349
654,0.314
654,0.319
735,0.326
704,0.317
735,0.329
787,0.34
625,0.318
615,0.311
730,0.329
667,0.313
644,0.322
721,0.325
619,0.306
718,0.335
867,0.343
645,0.311
713,0.323
610,0.309
593,0.305
556,0.292
570,0.303
762,0.341
707,0.322
855,0.34
743,0.317
624,0.309
713,0.325
738,0.339
613,0.316
818,0.339
685,0.32
752,0.332
790,0.338
646,0.322
770,0.336
751,0.335
719,0.321
611,0.303
676,0.331
681,0.311
667,0.322
750,0.335
781,0.341
656,0.314
859,0.35
663,0.324
772,0.332
587,0.304
665,0.317
513,0.298
697,0.321
736,0.332
802,0.333
787,0.338
755,0.312
655,0.318
720,0.324
735,0.339
741,0.332
872,0.352
707,0.332
724,0.329
673,0.318
773,0.339
804,0.343
743,0.331
772,0.34
643,0.319
686,0.318
883,0.35
780,0.346
785,0.341
817,0.345
671,0.335
915,0.362
759,0.328
820,0.334
636,0.318
638,0.321
640,0.314
657,0.309
730,0.332
803,0.343
784,0.32
798,0.333
710,0.337
720,0.327
753,0.345
782,0.333
845,0.358
855,0.354
811,0.332
704,0.321
805,0.339
747,0.336
821,0.34
770,0.326
712,0.323
691,0.32
765,0.33
700,0.333
750,0.325
829,0.34
799,0.34
789,0.342
646,0.318
799,0.332
735,0.32
637,0.317
671,0.318
640,0.321
779,0.35
774,0.34
901,0.354
714,0.331
641,0.323
712,0.321
810,0.339
756,0.333
867,0.362
752,0.333
693,0.318
783,0.335
811,0.343
860,0.354
887,0.345
790,0.336
723,0.33
706,0.322
822,0.345
735,0.337
801,0.329
718,0.33
804,0.342
968,0.366
741,0.338
892,0.354
724,0.325
741,0.322
794,0.337
683,0.322
725,0.337
782,0.336
816,0.328
753,0.327
673,0.325
773,0.331
849,0.337
768,0.339
820,0.351
716,0.319
868,0.342
749,0.336
870,0.349
813,0.341
822,0.329
758,0.331
735,0.332
757,0.332
766,0.334
820,0.348
730,0.327
801,0.347
834,0.334
930,0.363
771,0.34
865,0.347
691,0.327
731,0.332
756,0.325
746,0.324
781,0.337
689,0.314
835,0.338
809,0.348
746,0.338
696,0.332
769,0.333
729,0.327
910,0.357
703,0.324
741,0.322
820,0.339
790,0.334
740,0.333
723,0.321
717,0.339
693,0.322
701,0.32
761,0.325
685,0.326
726,0.331
688,0.323
722,0.322
886,0.355
772,0.33
807,0.348
680,0.322
684,0.333
699,0.317
649,0.319
805,0.339
750,0.329
865,0.329
775,0.331
639,0.322
836,0.341
615,0.31
803,0.343
842,0.345
949,0.36
789,0.328
865,0.333
750,0.331
858,0.351
833,0.345
827,0.337
718,0.329
803,0.342
720,0.322
761,0.332
634,0.321
780,0.332
635,0.313
684,0.317
897,0.353
793,0.343
840,0.345
680,0.321
768,0.342
698,0.331
850,0.357
855,0.344
714,0.32
860,0.329
719,0.328
736,0.33
717,0.33
907,0.349
743,0.323
961,0.36
724,0.323
791,0.331
694,0.318
699,0.316
853,0.344
591,0.3
751,0.333
805,0.336
836,0.336
574,0.303
714,0.329
801,0.341
711,0.326
642,0.314
877,0.356
768,0.327
791,0.343
753,0.338
678,0.333
795,0.344
755,0.338
876,0.35
715,0.32
826,0.33
894,0.349
851,0.341
819,0.346
708,0.331
667,0.309
859,0.345
706,0.321
856,0.338
709,0.33
739,0.321
778,0.337
575,0.3
699,0.337
749,0.338
737,0.323
713,0.32
627,0.32
768,0.332
735,0.334
690,0.322
897,0.354
800,0.339
710,0.339
641,0.319
662,0.321
814,0.35
783,0.344
787,0.338
673,0.314
843,0.338
813,0.327
691,0.327
818,0.341
729,0.324
687,0.319
772,0.334
777,0.336
798,0.334
735,0.324
897,0.35
923,0.354
724,0.32
742,0.326
847,0.347
729,0.318
758,0.323
740,0.319
771,0.337
670,0.319
642,0.323
804,0.334
884,0.345
746,0.329
657,0.313
789,0.336
927,0.36
799,0.342
814,0.339
672,0.32
890,0.344
767,0.325
864,0.352
792,0.333
810,0.346
794,0.341
792,0.341
764,0.335
978,0.356
825,0.343
950,0.367
968,0.362
823,0.343
731,0.331
938,0.361
879,0.348
798,0.341
740,0.325
748,0.337
738,0.326
807,0.346
871,0.354
947,0.36
708,0.329
793,0.339
752,0.33
907,0.361
925,0.362
887,0.356
733,0.329
848,0.352
861,0.341
711,0.322
908,0.347
840,0.341
851,0.353
836,0.35
747,0.329
777,0.337
865,0.341
1009,0.373
906,0.348
747,0.326
691,0.325
823,0.355
856,0.348
793,0.339
815,0.353
686,0.328
718,0.323
853,0.363
900,0.366
893,0.355
841,0.351
775,0.334
710,0.332
859,0.343
872,0.356
809,0.338
772,0.343
945,0.361
883,0.352
787,0.335
665,0.314
826,0.342
817,0.347
876,0.348
831,0.337
861,0.339
750,0.337
850,0.347
826,0.347
722,0.323
667,0.317
874,0.356
714,0.324
669,0.31
707,0.33
734,0.328
644,0.31
706,0.33
965,0.364
804,0.338
713,0.326
650,0.311
749,0.33
859,0.345
845,0.353
810,0.341
620,0.321
940,0.357
816,0.34
829,0.346
791,0.343
812,0.341
851,0.352
687,0.321
779,0.341
651,0.321
868,0.358
923,0.357
784,0.332
740,0.346
777,0.344
747,0.333
742,0.33
681,0.325
772,0.333
691,0.316
777,0.332
891,0.362
764,0.339
668,0.322
725,0.329
795,0.342
925,0.355
784,0.337
689,0.324
807,0.334
654,0.31
773,0.333
949,0.35
928,0.359
762,0.339
772,0.32
898,0.36
778,0.331
952,0.369
961,0.355
783,0.323
688,0.329
753,0.336
746,0.332
703,0.316
894,0.353
877,0.357
741,0.327
746,0.324
871,0.36
861,0.344
650,0.325
776,0.329
771,0.338
993,0.366
752,0.331
759,0.33
928,0.358
766,0.331
767,0.331
786,0.346
686,0.33
684,0.331
738,0.325
776,0.338
722,0.324
790,0.335
758,0.323
899,0.362
581,0.314
716,0.33
675,0.32
675,0.321
733,0.328
693,0.327
732,0.326
672,0.305
821,0.353
715,0.33
877,0.351
707,0.335
679,0.312
734,0.339
808,0.34
758,0.341
835,0.329
847,0.35
682,0.316
705,0.34
599,0.321
579,0.301
593,0.307
738,0.336
660,0.328
674,0.323
791,0.337
608,0.313
610,0.315
548,0.313
740,0.33
747,0.341
648,0.313
599,0.31
733,0.328
745,0.346
686,0.32
693,0.324
617,0.313
679,0.323
574,0.302
631,0.323
682,0.321
780,0.333
749,0.328
686,0.319
731,0.34
653,0.314
695,0.309
758,0.336
689,0.32
576,0.313
817,0.333
605,0.309
727,0.328
665,0.326
799,0.336
776,0.344
579,0.308
640,0.317
674,0.316
760,0.331
629,0.303
768,0.338
636,0.31
702,0.328
649,0.309
651,0.322
829,0.341
684,0.322
682,0.311
669,0.33
699,0.344
690,0.329
690,0.314
682,0.32
693,0.325
732,0.324
750,0.337
573,0.313
707,0.328
728,0.328
732,0.32
666,0.324
662,0.322
775,0.323
603,0.3
733,0.336
646,0.327
733,0.33
673,0.32
640,0.333
719,0.323
599,0.32
676,0.331
767,0.328
584,0.298
708,0.326
774,0.351
669,0.311
702,0.319
693,0.328
632,0.309
604,0.31
617,0.318
647,0.306
690,0.329
554,0.306
707,0.318
740,0.334
632,0.319
683,0.311
698,0.331
712,0.331
629,0.314
637,0.311
642,0.319
694,0.32
699,0.316
632,0.321
695,0.326
731,0.323
555,0.298
550,0.305
813,0.357
714,0.321
660,0.31
631,0.303
641,0.309
666,0.314
703,0.324
617,0.306
704,0.321
628,0.305
682,0.314
759,0.34
628,0.309
703,0.325
772,0.333
800,0.336
597,0.306
651,0.317
594,0.31
664,0.317
670,0.318
578,0.309
637,0.32
763,0.332
747,0.339
729,0.322
842,0.352
770,0.326
720,0.326
748,0.319
783,0.33
742,0.324
896,0.349
648,0.318
715,0.328
635,0.309
862,0.346
786,0.328
741,0.328
823,0.339
788,0.336
806,0.333
702,0.327
723,0.33
668,0.332
760,0.335
783,0.324
798,0.34
823,0.333
845,0.336
615,0.319
708,0.327
794,0.346
786,0.338
680,0.318
644,0.31
732,0.325
831,0.337
798,0.338
654,0.322
654,0.313
638,0.313
667,0.321
741,0.325
637,0.322
783,0.339
797,0.347
731,0.322
739,0.327
663,0.321
656,0.321
718,0.326
698,0.322
601,0.309
771,0.331
809,0.329
632,0.315
818,0.336
800,0.347
732,0.333
686,0.324
736,0.315
677,0.327
729,0.324
729,0.318
706,0.319
687,0.313
682,0.328
690,0.319
705,0.326
633,0.31
695,0.323
839,0.344
757,0.325
667,0.312
568,0.311
650,0.32
719,0.326
556,0.299
747,0.335
617,0.322
759,0.331
632,0.317
681,0.328
810,0.341
696,0.319
762,0.331
679,0.314
627,0.313
761,0.335
829,0.342
693,0.323
673,0.317
580,0.306
641,0.317
673,0.318
593,0.312
652,0.32
758,0.339
738,0.327
720,0.333
615,0.31
686,0.317
682,0.324
682,0.328
652,0.317
656,0.313
750,0.331
746,0.341
799,0.34
724,0.335
722,0.322
701,0.319
800,0.329
623,0.314
704,0.338
789,0.335
643,0.32
696,0.32
654,0.318
764,0.333
709,0.319
677,0.326
575,0.3
770,0.337
708,0.326
696,0.329
659,0.325
653,0.311
558,0.301
687,0.325
679,0.335
639,0.31
795,0.338
739,0.325
774,0.341
753,0.34
814,0.347
676,0.317
786,0.337
545,0.31
683,0.341
729,0.324
569,0.302
784,0.337
691,0.327
891,0.335
657,0.316
697,0.325
609,0.305
709,0.328
691,0.309
664,0.323
724,0.327
675,0.311
651,0.311
673,0.327
685,0.334
590,0.308
651,0.314
630,0.307
805,0.342
757,0.34
698,0.332
614,0.309
587,0.311
707,0.327
738,0.35
830,0.348
637,0.326
809,0.345
663,0.323
811,0.329
670,0.319
694,0.324
611,0.319
820,0.343
686,0.322
728,0.327
666,0.322
591,0.324
